latitude,longitude,confidence,frp
11.41868,76.56975,n,1.17
11.46858,76.4912,n,0.86
12.21313,77.65965,n,3.36
12.21408,77.65449,n,3.36
8.69758,77.57043,l,5.46
8.84724,79.99751,n,2.41
8.85003,79.99347,l,2.07
8.99483,77.88582,l,6.46
8.99682,77.98821,l,10.11
9.08811,78.10757,l,4.98
9.08862,78.10783,l,9.51
9.09162,78.10699,l,4.98
9.10726,78.22899,l,7.1
9.10831,78.22908,n,7.21
9.13412,77.94193,l,13.12
9.13702,77.93737,n,13.12
9.13766,77.94137,n,13.12
9.16992,77.74194,l,14.42
9.17543,78.17827,l,6.48
9.17892,78.1777,l,7.52
9.19003,78.17992,l,8.17
9.19353,78.17936,l,9.95
9.19554,78.07839,l,7.36
9.19846,78.07393,l,5.95
9.1991,78.07787,l,5.95
9.20197,78.07336,l,5.95
9.22773,78.16582,n,9.83
9.23185,78.16917,l,9.83
9.23535,78.1686,l,8.91
9.24073,78.17974,l,7.84
9.2521,77.84476,l,6.67
9.32127,79.30099,n,1.46
9.40667,77.82101,l,12.36
9.53658,78.82851,l,8.13
9.53717,78.8322,l,5.77
9.56263,78.59526,n,5.05
9.56323,78.59901,n,7.54
9.56606,78.5947,n,5.05
9.56666,78.59846,l,7.54
9.62538,79.97311,n,6.0
9.68284,77.33775,l,7.58
9.6864,77.33686,l,3.96
9.76271,78.3572,l,3.6
9.96287,78.2314,l,3.42
10.27013,77.38337,n,11.25
10.27145,77.38241,n,10.91
10.27667,77.4607,n,7.52
10.30663,78.88042,l,1.97
10.37552,79.29507,n,2.45
10.45826,79.62798,l,3.81
10.96309,79.78461,l,1.59
10.99125,79.66449,n,2.55
11.00095,79.03149,l,9.84
11.07039,78.80819,l,3.98
11.07096,78.81182,l,3.98
11.09498,78.96396,l,7.47
11.13202,79.80762,l,2.52
11.16499,78.97118,l,3.91
11.16835,78.97064,l,3.91
11.17885,79.69204,n,2.9
11.1812,79.69082,n,3.43
11.31029,79.64816,l,1.11
11.27641,79.05621,l,7.46
11.40647,78.32809,l,2.42
11.41097,76.5801,l,15.85
11.46181,78.87833,l,5.64
11.46517,78.87778,l,5.64
11.46574,78.88139,l,5.64
11.47071,76.6257,l,44.94
11.48824,79.04753,l,4.23
11.65234,79.34226,n,9.26
11.7085,78.68944,n,7.81
11.72703,78.69748,n,3.82
11.8099,77.92377,l,7.08
11.82912,78.2178,n,8.58
11.89959,78.37543,l,2.37
11.92248,78.69492,l,2.86
11.95214,78.68616,n,3.15
12.07436,76.41527,l,8.62
12.10525,79.44954,l,1.06
12.19533,79.50695,n,2.42
12.21022,77.65292,l,3.65
12.21085,77.65684,n,3.65
12.21116,76.13235,l,6.21
12.21147,77.66068,n,7.22
12.21488,76.13173,n,6.21
12.21497,77.66029,l,4.5
12.21846,77.65989,l,4.5
12.24737,77.86163,n,1.95
12.25574,79.81165,l,2.28
12.27098,79.03954,l,5.78
12.28575,77.85911,l,20.81
12.31725,78.62598,l,2.14
12.34924,77.90721,n,2.04
12.35792,77.80766,l,1.22
12.37352,78.67688,n,7.13
12.39093,77.90402,l,20.79
12.39258,79.5147,n,1.26
12.39436,77.90347,l,20.79
12.48835,79.56746,n,3.15
12.49167,79.56693,n,3.15
12.49498,79.56641,n,31.14
12.54436,79.20609,n,2.15
12.61784,78.10046,l,2.17
12.66672,79.32029,n,4.22
12.67842,79.26392,n,1.34
12.71631,78.76735,l,11.07
12.71909,78.76318,n,5.25
12.71965,78.76676,n,11.07
12.72089,78.86211,l,6.18
12.72891,78.67241,n,6.18
12.81369,78.98292,l,3.82
12.81693,78.93822,l,3.38
12.83467,78.54804,l,2.81
12.85282,77.53976,l,6.26
12.86722,77.20302,n,2.18
12.89662,79.58354,l,3.34
12.91211,78.59071,l,3.72
12.96504,79.60882,n,1.39
12.98844,78.60722,l,1.43
12.99235,78.61021,l,2.18
9.39075,78.89402,n,3.43
9.67633,77.33701,n,1.61
9.92446,77.23716,n,1.02
9.92725,77.24207,n,2.17
9.9336,77.24717,n,1.48
9.93435,77.24266,n,1.48
9.93718,77.24732,n,2.24
9.93792,77.24292,n,2.24
10.29901,77.37611,n,1.79
10.29919,77.37497,n,1.44
10.41942,77.12747,n,0.47
11.11325,77.91034,n,0.85
11.18094,79.10041,n,2.31
11.40766,76.59047,n,1.58
11.40826,76.58683,n,1.71
11.40829,76.57921,n,2.77
11.40888,76.57558,n,2.77
11.40946,76.57955,n,0.96
11.40982,76.59834,n,0.84
11.41006,76.57593,n,0.96
11.41043,76.5947,n,1.58
11.41066,76.5723,n,0.98
11.41103,76.59104,n,1.58
11.41163,76.58739,n,1.71
11.42423,76.48978,n,0.64
11.47094,76.62756,n,2.52
11.47233,76.59786,n,0.4
11.47511,76.60204,n,2.93
11.47571,76.59839,n,3.18
11.47849,76.60256,n,2.93
11.49034,79.10375,n,1.26
11.50311,76.62178,n,3.14
11.80925,77.92588,n,2.7
11.80993,77.9218,n,3.18
11.81415,77.91833,n,1.4
11.81769,77.91894,n,1.4
11.86072,78.28941,n,0.44
12.15067,79.35904,n,1.04
12.2218,77.66756,n,3.96
12.99933,77.41483,n,0.69
8.97102,77.97677,n,9.68
9.01323,78.27045,n,1.54
9.05324,78.25352,n,7.34
9.05846,78.10432,n,15.56
9.06133,78.10558,n,14.95
9.30643,77.65692,n,12.6
9.30832,77.6594,n,9.95
9.31224,77.93518,l,15.05
9.31313,77.94022,n,20.38
9.42488,76.44791,n,1.91
9.60452,76.46227,n,2.43
9.6097,76.46131,n,8.25
9.61341,78.3148,n,10.47
9.74051,77.9427,n,13.94
9.91845,78.05222,n,4.68
9.9195,78.04967,n,6.72
10.05633,78.74561,n,4.66
10.18951,78.7864,n,7.37
10.34958,79.30554,l,2.47
10.62682,76.01076,n,3.83
10.62695,76.01048,n,3.96
10.66831,77.39198,l,4.59
10.99886,79.02946,h,11.05
10.99956,79.03345,n,7.79
11.00173,78.99562,n,4.32
11.02391,78.94588,l,4.83
11.05175,78.94158,n,5.87
11.05247,78.94566,n,5.87
11.07234,78.90845,l,5.71
11.09942,78.98741,l,5.04
11.10012,78.99143,n,6.31
11.13347,78.98134,l,4.33
11.14633,78.95398,n,4.82
11.16052,78.61523,l,4.96
11.18583,79.01086,n,5.44
11.21695,79.01371,n,5.07
11.25693,79.06807,l,6.57
11.27695,79.40748,n,5.69
11.28108,79.40675,n,3.0
11.30242,79.08443,l,7.26
11.30393,78.84402,l,4.6
11.39784,78.88633,n,4.82
11.4142,78.82899,l,8.23
11.42276,78.82748,n,4.51
11.42347,78.83156,n,4.51
11.45327,78.87655,l,3.69
11.45496,78.78381,l,6.14
11.45672,78.78376,n,7.6
11.45684,78.87174,n,12.71
11.45706,79.29687,n,4.71
11.45754,78.87579,n,12.71
11.45824,78.87985,n,9.41
11.45922,78.87148,n,10.64
11.45994,78.87551,n,10.64
11.4786,76.60188,n,8.5
11.47902,76.60462,n,6.28
11.51051,79.4082,l,1.67
11.64064,78.19514,l,3.47
11.66422,79.02171,n,1.76
11.78379,78.69479,n,5.49
11.81411,79.2382,n,4.07
11.89872,78.38064,n,7.93
11.93162,77.21127,n,12.74
11.93226,77.20845,n,7.38
11.93316,77.21328,n,6.52
11.96002,78.68096,n,4.45
11.96512,79.53246,n,5.58
11.9896,79.22221,n,3.57
11.99762,79.64894,l,1.0
12.07156,79.81812,l,2.27
12.21994,77.67071,l,5.64
12.2953,76.12891,l,2.45
12.29634,77.72768,l,3.75
12.30641,77.60036,h,14.18
12.3229,77.84943,n,11.93
12.37525,79.15426,l,1.24
12.3763,79.14993,n,6.09
12.37697,79.15369,n,8.49
12.37872,79.14973,n,4.36
12.37936,79.1535,n,3.49
12.58914,79.75995,l,2.56
12.61082,78.98589,l,2.41
12.6587,79.9264,n,7.63
12.69921,79.63148,l,5.3
12.72323,78.83631,n,3.22
12.72823,78.67157,l,5.45
12.72916,78.67117,l,2.59
12.7329,79.03789,n,3.04
12.74727,78.94942,n,10.75
12.80785,79.95506,l,5.56
12.83417,78.53508,l,5.82
12.8349,78.53912,n,5.82
12.85838,79.94344,l,3.92
12.91275,79.15879,n,5.3
12.91338,79.16247,n,5.3
12.91641,79.79512,n,3.77
12.9179,79.79761,n,7.25
12.93484,79.94523,l,4.19
12.94871,79.9325,l,2.1
12.95027,79.91907,l,5.09
12.95092,79.92181,l,3.51
12.97446,78.29427,n,2.42
12.9771,78.00294,n,18.92
12.9943,78.53205,l,0.87
11.1776,79.08783,n,0.78
11.18258,79.09948,n,1.46
11.40736,76.58238,n,2.64
11.40862,76.57378,n,0.77
11.4091,76.59573,n,1.57
11.47013,76.76386,n,0.48
11.47106,76.60027,n,1.58
11.47465,76.6009,n,0.88
11.47529,76.59666,n,0.88
11.47824,76.60155,n,0.88
11.47974,79.40726,n,1.4
11.81567,77.91731,n,2.69
12.2235,77.66144,n,1.1
12.22642,77.66557,n,1.1
12.28414,78.4156,n,0.54
12.57474,79.15807,n,1.49
12.712,78.08009,n,0.32
12.85537,77.6271,n,1.04
12.85824,77.43681,n,1.07
12.98507,76.98785,n,0.94
12.98867,76.98838,n,0.94
8.66908,77.99242,n,0.55
9.0058,78.03741,n,0.62
10.26592,77.50623,n,1.03
10.26663,77.50711,n,2.07
10.26935,77.50666,n,1.03
10.28137,77.5433,n,2.7
10.68714,76.97498,n,0.39
11.1876,76.55862,n,1.14
11.19462,76.56113,n,1.28
9.47923,78.04827,n,11.15
9.47991,78.04463,n,11.16
9.54574,77.83263,n,8.09
9.59786,78.41742,n,11.92
9.64414,77.92936,n,9.12
9.64493,77.92863,n,8.86
10.45325,79.6443,n,1.41
10.79505,78.86966,n,2.5
10.96158,78.9868,l,6.23
11.29471,76.18577,n,3.59
11.32673,79.2161,n,4.83
11.32754,79.21363,n,4.27
11.47904,79.25842,n,3.37
11.52223,79.2581,l,1.59
11.54255,78.90494,l,1.93
11.74429,78.53799,n,7.03
11.83192,79.31946,l,1.41
11.83267,79.32333,n,1.41
11.96114,79.4934,h,7.34
11.96669,79.49232,n,7.34
12.08175,78.76039,l,1.81
12.08202,78.75964,l,2.0
12.17469,79.42329,h,9.53
12.18333,79.46812,l,1.51
12.22367,78.72198,l,2.36
12.29165,79.67475,n,2.12
12.42276,76.14793,n,7.37
12.42771,76.1489,n,6.43
12.43557,79.09879,n,4.04
12.46899,79.59597,l,1.27
12.46934,79.5952,n,1.83
12.70526,78.91728,n,6.04
12.70561,77.93411,l,3.52
12.70655,77.93877,n,3.52
12.70983,78.91051,n,3.9
12.76651,79.72322,n,3.85
12.76719,79.72675,n,3.85
12.7672,79.84203,l,1.34
12.78005,79.3856,l,4.07
12.79521,79.87218,n,1.2
12.86762,79.8619,l,3.1
12.87898,78.46671,n,5.2
12.87968,78.46603,n,6.75
12.88481,78.46562,n,6.27
12.88552,78.46491,n,6.07
12.90411,77.8828,l,1.87
12.91515,79.79206,l,1.61
12.93802,79.66761,l,0.74
12.96161,79.35651,l,2.16
12.9624,79.73524,n,4.63
12.96273,79.35705,n,1.86
12.96777,79.73417,n,2.88
12.99962,78.20107,n,3.16
9.30282,76.47505,n,8.46
10.32849,77.29637,n,5.7
11.07491,76.66936,n,3.9
10.27523,77.46593,n,1.1
10.31544,77.41041,n,1.31
10.31583,77.41275,n,1.2
10.32565,77.30497,n,2.35
10.3259,77.30181,n,1.06
10.32642,77.64072,n,3.8
10.32792,77.62984,n,1.1
10.33065,77.3012,n,0.88
10.34475,77.60728,n,1.04
12.74467,77.61671,n,1.82
12.74636,77.62049,n,1.42
12.98632,78.71263,n,1.67
